rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split0_train_score
1,0.595750287109171,0.0,0.9973555564383949,0.0,2.612075090408325,0.0,0.11726641654968262,0.0,25,1,5,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.595750287109171,0.9973555564383949
2,0.5954407294832826,0.0,0.9809897387629529,0.0,3.92572021484375,0.0,0.23876547813415527,0.0,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5954407294832826,0.9809897387629529
3,0.5924959958967014,0.0,0.9931746766779139,0.0,7.0268964767456055,0.0,0.1776905059814453,0.0,25,2,5,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5924959958967014,0.9931746766779139
4,0.5865563205399208,0.0,0.9900788312260829,0.0,2.909965991973877,0.0,0.05918264389038086,0.0,25,1,10,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.5865563205399208,0.9900788312260829
5,0.5827169856507075,0.0,0.9849661706889319,0.0,3.0881099700927734,0.0,0.10102415084838867,0.0,25,2,10,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.5827169856507075,0.9849661706889319
5,0.5827169856507075,0.0,0.9880335600639808,0.0,3.960188388824463,0.0,0.07875823974609375,0.0,25,2,10,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5827169856507075,0.9880335600639808
7,0.582527012322257,0.0,0.9824530013828618,0.0,1.5806150436401367,0.0,0.06178617477416992,0.0,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.582527012322257,0.9824530013828618
8,0.5805825242718446,0.0,0.9931746766779139,0.0,3.2070865631103516,0.0,0.06519484519958496,0.0,25,2,2,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5805825242718446,0.9931746766779139
9,0.5798611111111112,0.0,0.9957805392815376,0.0,6.301962614059448,0.0,0.20773911476135254,0.0,25,1,5,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5798611111111112,0.9957805392815376
10,0.578362233468846,0.0,0.9931746766779139,0.0,3.0893874168395996,0.0,0.10150289535522461,0.0,25,2,5,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.578362233468846,0.9931746766779139
11,0.578144143403363,0.0,0.9705922717408882,0.0,1.5891575813293457,0.0,0.05834555625915527,0.0,10,2,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.578144143403363,0.9705922717408882
12,0.5776771222667234,0.0,0.9911070325816869,0.0,6.804921388626099,0.0,0.2475733757019043,0.0,25,1,10,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5776771222667234,0.9911070325816869
13,0.5775815671956595,0.0,0.9765532963402388,0.0,3.180494546890259,0.0,0.11330366134643555,0.0,10,1,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5775815671956595,0.9765532963402388
14,0.5758506451758212,0.0,1.0,0.0,1.6338229179382324,0.0,0.05831265449523926,0.0,25,1,2,100,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5758506451758212,1.0
14,0.5758506451758212,0.0,1.0,0.0,4.400634765625,0.0,0.18926453590393066,0.0,25,1,2,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5758506451758212,1.0
16,0.5755897397463042,0.0,0.9696314281703469,0.0,1.566575527191162,0.0,0.05891156196594238,0.0,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5755897397463042,0.9696314281703469
17,0.5750444564373741,0.0,0.9931746766779139,0.0,6.487534284591675,0.0,0.2585759162902832,0.0,25,2,2,200,"{'model__max_depth': 25, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5750444564373741,0.9931746766779139
18,0.574474715099715,0.0,0.9726682853533122,0.0,3.1576483249664307,0.0,0.13497161865234375,0.0,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.574474715099715,0.9726682853533122
19,0.5739243975472804,0.0,0.9769614017691324,0.0,2.503352403640747,0.0,0.06046628952026367,0.0,10,1,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5739243975472804,0.9769614017691324
20,0.5717693761438509,0.0,0.9736344505263136,0.0,3.155186653137207,0.0,0.10961127281188965,0.0,10,2,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5717693761438509,0.9736344505263136
21,0.5707186314886968,0.0,0.9611318661828091,0.0,1.5390956401824951,0.0,0.061300039291381836,0.0,10,2,10,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.5707186314886968,0.9611318661828091
22,0.5701997146932952,0.0,0.9672438878325428,0.0,1.5793452262878418,0.0,0.05527091026306152,0.0,10,1,10,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.5701997146932952,0.9672438878325428
23,0.566681933091658,0.0,0.9649980854114515,0.0,3.1309170722961426,0.0,0.10953712463378906,0.0,10,1,10,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.566681933091658,0.9649980854114515
24,0.5647566782137012,0.0,0.9608686402206741,0.0,3.111264705657959,0.0,0.1082465648651123,0.0,10,2,10,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5647566782137012,0.9608686402206741
